empty_slots,free_bikes,total_slots,name,latitude,longitude,difference_in_m_from_center,category_name,distance,rating
10.0,30.0,40.0,7035 - MARSEILLE / UNIVERSITÉ,45.750945,4.83927,316.70859938602484,,,
1.0,20.0,21.0,7024 - BANCEL / CHEVREUL,45.748504,4.840505,620.3603309059147,,,
,,,,45.757567,4.832622,748.4345119868261,Plaza,623.0,9.1
,,,,45.76058,4.835971,817.5151205697168,Plaza,782.0,9.1
,,,,45.760449,4.83345,921.9757889558673,Monument,847.0,9.2
1.0,9.0,10.0,7008 - JEAN JAURÈS / GUILLOTIÈRE,45.75251,4.846278,925.4057684410636,,,
,,,,45.754275,4.846536,951.3931735308048,Beer Bar,679.0,8.5
,,,,45.759207,4.844517,961.5517985517414,French Restaurant,814.0,8.2
3.0,19.0,22.0,2013 - CÉLESTINS,45.759932,4.832111,967.999841603522,,,
,,,,45.760041,4.832065,980.3814210937363,Monument,847.0,8.8
,,,,45.761036,4.832986,1004.7277805112273,Coffee Shop,914.0,8.8
,,,,45.762841,4.837812,1037.0609768113002,Bar,1055.0,8.5
,,,,45.759643,4.830362,1088.0009877073492,Fast Food Restaurant,905.0,8.4
,,,,45.763616,4.840894,1167.9219983077135,Pedestrian Plaza,1146.0,8.6
0.0,15.0,15.0,7016 - PLACE SAINT LOUIS,45.748925,4.847714,1191.8548230137958,,,
,,,,45.74844,4.828225,1221.7778874349913,Brasserie,934.0,8.0
9.0,20.0,29.0,7030 - QUARTIER GENERAL FRERE,45.743163,4.834165,1223.8261898137328,,,
0.0,19.0,19.0,5040 - PLACE CRÉPU,45.757847,4.826103,1405.9586966826635,,,
,,,,45.761927,4.827248,1516.3584544534679,History Museum,1242.0,8.7
,,,,45.763228,4.828026,1546.507913286852,Creperie,1340.0,9.0
,,,,45.767018,4.833468,1582.5787698270362,Museum,1511.0,8.9
,,,,45.767713,4.835757,1597.1678027612847,Concert Hall,1591.0,8.6
10.0,7.0,17.0,2023 -  PERRACHE / PETIT,45.7444746076792,4.82671963006449,1603.573371674905,,,
2.0,37.0,39.0,7003 - GAMBETTA / GARIBALDI,45.751827,4.8526,1631.2050650390522,,,
,,,,45.764823,4.828572,1635.499452054997,Beer Bar,1448.0,9.0
,,,,45.767619,4.833502,1644.8168806786045,Monument,1595.0,8.7
,,,,45.762485,4.82579,1682.7187222837247,Landmarks and Outdoors,1381.0,8.6
,,,,45.745995,4.85144,1708.6741112995728,Playground,1495.0,8.6
2.0,11.0,13.0,7038 - PLACE STALINGRAD,45.749622,4.85299,1718.6692590094372,,,
,,,,45.763376,4.850351,1755.3539333184501,Grocery Store,1445.0,9.1
1.0,18.0,19.0,1031 - PLACE DE LA PAIX,45.768023,4.831733,1755.7407868409698,,,
18.0,1.0,19.0,5015 - FULCHIRON,45.75197,4.821662,1821.4526524793796,,,
8.0,11.0,19.0,6022 - PLACE MARÉCHAL LYAUTEY,45.769383,4.842364,1828.3495490149314,,,
,,,,45.768335,4.830427,1848.8333869857534,Beer Bar,1739.0,9.0
,,,,45.768271,4.845703,1849.1369031655342,Bistro,1727.0,8.7
19.0,1.0,20.0,6004 - FOCH,45.768896,4.844845,1870.245719674112,,,
,,,,45.759126,4.821502,1934.8286429242426,Monument,1569.0,9.2
,,,,45.762687,4.823028,1949.8177757709657,Scenic Lookout,1545.0,9.0
,,,,45.768116,4.828022,1964.3799552883988,Monument,1804.0,9.1
,,,,45.759222,4.820316,2063.122873204557,Historic and Protected Site,1511.0,8.8
,,,,45.761432,4.855542,2136.968782773216,Computer Repair Service,1648.0,8.4
,,,,45.762139,4.855558,2172.0736992293914,Toy Store,1680.0,8.3
19.0,2.0,21.0,3009 - MUSEE AFRICAIN,45.750251,4.857919,2240.2279541158773,,,
,,,,45.768327,4.852417,2295.5535819441902,Restaurant,2838.0,9.5
,,,,45.774738,4.83279,2427.315818516885,Plaza,2385.0,8.3
13.0,15.0,28.0,2021 - RAMBAUD / ECOLE DU CINÉMA,45.745824,4.817176,2463.499780514049,,,
,,,,45.740665,4.818694,2573.33064847523,Movie Theater,2065.0,8.1
17.0,5.0,22.0,2010 - CONFLUENCE / DARSE,45.743317,4.815747,2716.4162981507975,,,
,,,,45.741303,4.816633,2730.950796125403,Electronics Store,2155.0,8.4
6.0,11.0,17.0,8025 - DUMONT / JOUVET,45.744447,4.860889,2732.185869359995,,,
23.0,7.0,30.0,4012 - PLACE ADRIEN GODIEN,45.778767,4.841109,2825.788743266152,,,
14.0,5.0,19.0,3066 - KIMMERLING / FAURE,45.754296,4.86359,2841.863864233476,,,
11.0,3.0,14.0,4009 - JACQUARD / DENFERT-ROCHEREAU,45.77591,4.825394,2854.0587483190247,,,
19.0,1.0,20.0,1023 - CROIX ROUSSE / PERFETTI,45.772229,4.819389,2930.7883943748266,,,
,,,,45.778673,4.827487,3028.0895578656773,Monument,2845.0,8.6
,,,,45.737073,4.815083,3129.7969456465335,Art Gallery,2562.0,8.2
19.0,2.0,21.0,4004 - HÉNON,45.779786,4.827635,3136.387489730876,,,
,,,,45.73302,4.818361,3149.586068587498,Museum,2747.0,8.5
,,,,45.775506,4.856468,3188.8718993177545,Landmarks and Outdoors,2633.0,8.6
18.0,2.0,20.0,10111 - CHARLES HERNU,45.770309,4.86196,3248.763657454751,,,
13.0,7.0,20.0,4025 - CHAZIÈRE,45.775425,4.817888,3302.5030870911974,,,
,,,,45.777629,4.856517,3376.0936576948,Zoo,3034.0,8.6
,,,,45.730035,4.818369,3395.915042798794,Scenic Lookout,3032.0,8.8
10.0,10.0,20.0,3021 - PLACE DE LA FERRANDIÈRE,45.759488,4.869346,3542.3226367821626,,,
32.0,3.0,35.0,10005 - 11 NOVEMBRE,45.779702,4.860029,3799.738739445585,,,
12.0,7.0,19.0,16001 - VENISSIEUX - PLACE ROMAND,45.725891,4.858428,3812.2643613564587,,,
5.0,15.0,20.0,8029 - ETATS-UNIS / LÉVIGNE,45.732366,4.865101,3814.7684391583807,,,
26.0,4.0,30.0,3070 - REBATEL / SAINT-MAXIMIN,45.747835,4.872261,3854.6072084021685,,,
8.0,5.0,13.0,5016 - POINT DU JOUR / GRANGES,45.756204,4.802727,3926.79054732293,,,
27.0,0.0,27.0,6042 - CITÉ INTERNATIONALE / RÉSIDENCE HÔTELIÈRE,45.784812,4.856432,4033.1051791055156,,,
18.0,4.0,22.0,4023 - PONT MASARYK,45.778175,4.810716,4083.340271664584,,,
18.0,4.0,22.0,6041 - CITÉ INTERNATIONALE / TÊTE D'OR NORD,45.78458,4.859664,4205.267333001905,,,
3.0,15.0,18.0,16002 - VÉNISSIEUX - LÉVY / VIENNE,45.719399,4.854681,4213.8119969692325,,,
7.0,9.0,16.0,3086 - FEUILLAT / LACASSAGNE,45.749563,4.875934,4233.290759246873,,,
14.0,1.0,15.0,11004 - CALUIRE - BRANLY / PASTEUR,45.79169,4.843452,4282.069263531845,,,
9.0,15.0,24.0,10028 - ECOLE DE MUSIQUE,45.767467,4.874032,4289.5175736058,,,
8.0,8.0,16.0,9003 - PLACE VALMY,45.775679,4.805314,4384.545856810464,,,
1.0,14.0,15.0,10120 - SALENGRO / DESCARTES,45.776239,4.871634,4506.529020955478,,,
,,,,45.785575,4.812636,4538.98818998684,French Restaurant,4058.0,8.1
20.0,0.0,20.0,9013 - QUAI PAUL SÉDALLIAN,45.787522,4.814418,4594.927029863294,,,
4.0,16.0,20.0,9043 - MARIETTON OUEST,45.776087,4.799725,4933.1329698550935,,,
3.0,1.0,4.0,10011 - GRATTE-CIEL,45.769226,4.880491,5029.160185000809,,,
,,,,45.798256,4.829833,5049.950367619922,Bakery,5004.0,8.6
5.0,13.0,18.0,8061 - STADE VUILLERMET,45.725403,4.881292,5728.760083127486,,,
16.0,6.0,22.0,10113 - GARE DE VILLEURBANNE,45.755768,4.891542,5948.491541033602,,,
8.0,8.0,16.0,10091 - CHÂTEAU GAILLARD / FORT,45.774754,4.887977,6028.263808713473,,,
,,,,45.815712,4.847452,6984.778742995419,French Restaurant,6940.0,8.1
16.0,5.0,21.0,10122 - VERDUN / DESGRAND,45.784023,4.897102,7383.544397813944,,,
6.0,14.0,20.0,15002 - ST PRIEST - CITE BERLIET,45.70597,4.900886,8749.834996650956,,,
,,,,45.837487,4.826422,9410.72261323295,Art Museum,9366.0,8.2
15.0,0.0,15.0,12003 - VAULX - BIBLIOTHEQUE,45.757092,4.92731,9921.424750863369,,,
12.0,5.0,17.0,32001 - COUZON - CENTRE,45.846034,4.832409,10290.005596902181,,,
,,,,45.799594,4.934664,11887.154613445859,Park,9087.0,8.3
,,,,45.872851,4.770494,15220.249911255105,Fast Food Restaurant,14243.0,8.0
,,,,45.765234,4.981836,16018.835177199751,Athletic Field,11238.0,8.9
,,,,45.52908,4.870463,25169.891336612087,Museum,25061.0,8.4
,,,,45.524938,4.878725,25769.962690147033,Concert Hall,25608.0,8.5
,,,,45.549991,4.583793,36145.307525176075,Zoo,30022.0,8.4
,,,,45.903388,5.179242,41370.77590093833,Historic and Protected Site,31246.0,8.8
,,,,45.590224,5.276562,51944.64143226358,Pub,38578.0,8.2
